Fri Jun 28 02:53:05 2024    profile_data.prof

         513254174 function calls (512834223 primitive calls) in 282.596 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   425062    0.636    0.000    0.754    0.000 copy.py:243(_keep_alive)
   850164    0.705    0.000    0.705    0.000 __init__.py:677(_clear_board)
   416782    0.159    0.000    0.629    0.000 {built-in method builtins.all}
  1916865    0.605    0.000    0.605    0.000 __init__.py:3663(_to_chess960)
  3576582    0.601    0.000    0.601    0.000 __init__.py:211(square_file)
   833562    0.314    0.000    0.570    0.000 __init__.py:2002(<genexpr>)
   844240    0.251    0.000    0.550    0.000 __init__.py:2409(has_legal_en_passant)
4902731/4902596    0.528    0.000    0.528    0.000 {built-in method builtins.len}
  3245121    0.512    0.000    0.512    0.000 {built-in method builtins.isinstance}
  2650125    0.477    0.000    0.477    0.000 {method 'group' of 're.Match' objects}
   425082    0.324    0.000    0.469    0.000 __init__.py:1671(clear_stack)
   425062    0.161    0.000    0.458    0.000 __init__.py:691(clear_board)
  1621017    0.457    0.000    0.457    0.000 {method 'update' of 'dict' objects}
  2764854    0.389    0.000    0.389    0.000 __init__.py:1888(is_variant_end)
  2983728    0.360    0.000    0.360    0.000 {method 'pop' of 'list' objects}
  2046123    0.330    0.000    0.330    0.000 {built-in method builtins.issubclass}
  1621157    0.327    0.000    0.327    0.000 {built-in method __new__ of type object at 0x5652816b79a0}
  1700252    0.322    0.000    0.322    0.000 {built-in method builtins.id}
   841543    0.304    0.000    0.304    0.000 engine.py:59(current_player)
    50026    0.047    0.000    0.273    0.000 __init__.py:3602(generate_legal_ep)
   416781    0.256    0.000    0.256    0.000 __init__.py:2004(has_insufficient_material)
  1621897    0.233    0.000    0.233    0.000 {built-in method builtins.hasattr}
   549441    0.209    0.000    0.209    0.000 {built-in method builtins.max}
  1489426    0.186    0.000    0.186    0.000 __init__.py:1901(is_variant_loss)
    60351    0.152    0.000    0.181    0.000 __init__.py:3618(generate_castling_moves)
  1489426    0.174    0.000    0.174    0.000 __init__.py:1908(is_variant_win)
     2377    0.004    0.000    0.170    0.000 engine.py:149(get_utility_given_terminal_history)
   425082    0.162    0.000    0.162    0.000 engine.py:29(__init__)
   354963    0.155    0.000    0.155    0.000 {built-in method builtins.min}
     69/7    0.001    0.000    0.152    0.022 <frozen importlib._bootstrap>:1022(_find_and_load)
     69/7    0.000    0.000    0.152    0.022 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     65/7    0.000    0.000    0.151    0.022 <frozen importlib._bootstrap>:664(_load_unlocked)
     44/6    0.000    0.000    0.150    0.025 <frozen importlib._bootstrap_external>:877(exec_module)
     94/8    0.000    0.000    0.149    0.019 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   850164    0.145    0.000    0.145    0.000 {method 'clear' of 'list' objects}
   919382    0.142    0.000    0.142    0.000 {built-in method builtins.abs}
        5    0.000    0.000    0.142    0.028 __init__.py:1(<module>)
     7702    0.017    0.000    0.131    0.000 __init__.py:1820(is_into_check)
        1    0.000    0.000    0.122    0.122 engine.py:1(<module>)
        3    0.004    0.001    0.106    0.035 __init__.py:434(_attack_table)
   474650    0.104    0.000    0.104    0.000 __init__.py:215(square_rank)
    10816    0.020    0.000    0.101    0.000 __init__.py:395(_sliding_attacks)
    53488    0.079    0.000    0.094    0.000 __init__.py:1773(generate_pseudo_legal_ep)
   354962    0.092    0.000    0.092    0.000 {method 'lower' of 'str' objects}
    53810    0.047    0.000    0.080    0.000 __init__.py:219(square_distance)
    47073    0.044    0.000    0.064    0.000 __init__.py:1600(legal_moves)
   210148    0.061    0.000    0.061    0.000 {method 'insert' of 'list' objects}
   230343    0.057    0.000    0.057    0.000 __init__.py:473(ray)
        2    0.004    0.002    0.042    0.021 __init__.py:2130(info)
        2    0.002    0.001    0.039    0.019 __init__.py:1467(info)
        2    0.001    0.000    0.036    0.018 __init__.py:1600(_log)
   219550    0.034    0.000    0.034    0.000 __init__.py:2197(_push_capture)
     8332    0.018    0.000    0.027    0.000 __init__.py:845(pin_mask)
    25602    0.011    0.000    0.022    0.000 __init__.py:2393(<genexpr>)
        1    0.000    0.000    0.020    0.020 std.py:663(__new__)
    47073    0.020    0.000    0.020    0.000 __init__.py:3818(__init__)
        1    0.000    0.000    0.020    0.020 std.py:760(get_lock)
        1    0.000    0.000    0.020    0.020 std.py:90(__init__)
        1    0.000    0.000    0.020    0.020 std.py:116(create_mp_lock)
    47073    0.017    0.000    0.017    0.000 __init__.py:3828(__iter__)
     8332    0.017    0.000    0.017    0.000 __init__.py:3498(_ep_skewered)
     14/9    0.000    0.000    0.015    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      8/3    0.000    0.000    0.015    0.005 {built-in method builtins.__import__}
        2    0.002    0.001    0.014    0.007 __init__.py:1585(makeRecord)
        1    0.000    0.000    0.012    0.012 context.py:1(<module>)
        2    0.008    0.004    0.012    0.006 __init__.py:283(__init__)
        2    0.001    0.000    0.012    0.006 __init__.py:1626(handle)
       23    0.001    0.000    0.010    0.000 std.py:1160(__iter__)
        2    0.007    0.003    0.009    0.005 __init__.py:1549(findCaller)
        2    0.002    0.001    0.009    0.004 __init__.py:1680(callHandlers)
       44    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.008    0.008 reduction.py:1(<module>)
       20    0.000    0.000    0.007    0.000 std.py:1198(update)
       21    0.000    0.000    0.007    0.000 std.py:1325(refresh)
       22    0.000    0.000    0.007    0.000 std.py:1464(display)
        2    0.001    0.001    0.007    0.004 __init__.py:955(handle)
       67    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:921(_find_spec)
      158    0.002    0.000    0.007    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.006    0.006 context.py:70(RLock)
        2    0.001    0.001    0.006    0.003 __init__.py:1088(emit)
      122    0.000    0.000    0.005    0.000 re.py:288(_compile)
        1    0.000    0.000    0.005    0.005 synchronize.py:1(<module>)
        1    0.000    0.000    0.005    0.005 cli.py:1(<module>)
       15    0.000    0.000    0.005    0.000 re.py:249(compile)
       16    0.000    0.000    0.005    0.000 sre_compile.py:783(compile)
       44    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
       51    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       51    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
       44    0.005    0.000    0.005    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
       20    0.000    0.000    0.004    0.000 __init__.py:2452(set_fen)
      136    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
       22    0.000    0.000    0.004    0.000 std.py:1150(__str__)
       20    0.002    0.000    0.004    0.000 __init__.py:1010(_set_board_fen)
       22    0.001    0.000    0.004    0.000 std.py:464(format_meter)
      561    0.001    0.000    0.004    0.000 __init__.py:3615(_attacked_for_king)
        2    0.001    0.000    0.004    0.002 __init__.py:932(format)
        7    0.000    0.000    0.004    0.001 enum.py:536(_convert_)
       65    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
        1    0.000    0.000    0.003    0.003 std.py:1(<module>)
       22    0.000    0.000    0.003    0.000 std.py:457(print_status)
        2    0.000    0.000    0.003    0.002 __init__.py:665(format)
        1    0.000    0.000    0.003    0.003 tempfile.py:1(<module>)
       16    0.000    0.000    0.003    0.000 sre_parse.py:944(parse)
    50/16    0.000    0.000    0.003    0.000 sre_parse.py:436(_parse_sub)
    64/16    0.001    0.000    0.003    0.000 sre_parse.py:494(_parse)
     1400    0.001    0.000    0.003    0.000 __init__.py:3616(<genexpr>)
       66    0.000    0.000    0.003    0.000 utils.py:378(disp_len)
        1    0.002    0.002    0.003    0.003 __init__.py:455(_rays)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
       66    0.000    0.000    0.002    0.000 utils.py:374(_text_width)
       77    0.000    0.000    0.002    0.000 enum.py:359(__call__)
    10560    0.002    0.000    0.002    0.000 __init__.py:425(_carry_rippler)
        4    0.002    0.001    0.002    0.001 __init__.py:806(filter)
        2    0.000    0.000    0.002    0.001 __init__.py:597(formatTime)
       66    0.001    0.000    0.002    0.000 {built-in method builtins.sum}
       26    0.002    0.000    0.002    0.000 {method 'write' of '_io.TextIOWrapper' objects}
      256    0.000    0.000    0.002    0.000 __init__.py:413(_step_attacks)
        2    0.001    0.000    0.002    0.001 std.py:1265(close)
        2    0.002    0.001    0.002    0.001 posixpath.py:117(splitext)
        7    0.000    0.000    0.002    0.000 enum.py:483(_create_)
       22    0.000    0.000    0.002    0.000 std.py:451(fp_write)
       16    0.000    0.000    0.002    0.000 sre_compile.py:622(_code)
       46    0.000    0.000    0.002    0.000 utils.py:194(inner)
        1    0.000    0.000    0.002    0.002 std.py:952(__init__)
        1    0.000    0.000    0.002    0.002 shutil.py:1(<module>)
       44    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
        9    0.001    0.000    0.002    0.000 enum.py:180(__new__)
     6463    0.001    0.000    0.002    0.000 utils.py:375(<genexpr>)
        3    0.000    0.000    0.002    0.001 dataclasses.py:1174(wrap)
        3    0.000    0.000    0.002    0.001 dataclasses.py:881(_process_class)
   127/16    0.001    0.000    0.002    0.000 sre_compile.py:87(_compile)
        1    0.000    0.000    0.002    0.002 process.py:1(<module>)
      709    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        2    0.001    0.001    0.001    0.001 __init__.py:160(<lambda>)
        1    0.000    0.000    0.001    0.001 utils.py:333(_screen_shape_linux)
        7    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
        2    0.001    0.001    0.001    0.001 {built-in method time.localtime}
       65    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 __init__.py:416(<listcomp>)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:770(create_module)
        3    0.000    0.000    0.001    0.000 dataclasses.py:1156(dataclass)
       16    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
        2    0.000    0.000    0.001    0.001 __init__.py:119(getLevelName)
      151    0.001    0.000    0.001    0.000 enum.py:89(__setitem__)
       22    0.000    0.000    0.001    0.000 utils.py:386(disp_trim)
        2    0.001    0.001    0.001    0.001 __init__.py:1724(isEnabledFor)
        1    0.001    0.001    0.001    0.001 std.py:686(_decr_instances)
       10    0.000    0.000    0.001    0.000 dataclasses.py:412(_create_fn)
      709    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
      250    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       88    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      443    0.001    0.000    0.001    0.000 __init__.py:524(from_symbol)
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
        5    0.001    0.000    0.001    0.000 posixpath.py:52(normcase)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
       44    0.001    0.000    0.001    0.000 {built-in method io.open_code}
      250    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.001    0.001 __init__.py:417(<listcomp>)
        2    0.001    0.000    0.001    0.000 genericpath.py:121(_splitext)
       69    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:169(__enter__)
       56    0.000    0.000    0.001    0.000 sre_compile.py:292(_optimize_charset)
       44    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
        5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1182(exec_module)
        2    0.001    0.000    0.001    0.000 {built-in method time.strftime}
        1    0.000    0.000    0.001    0.001 __init__.py:412(PercentStyle)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        5    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        5    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
       93    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
        3    0.000    0.000    0.001    0.000 dataclasses.py:527(_init_fn)
        2    0.001    0.000    0.001    0.000 posixpath.py:140(basename)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       18    0.000    0.000    0.001    0.000 abc.py:105(__new__)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
     6397    0.001    0.000    0.001    0.000 {built-in method unicodedata.east_asian_width}
        1    0.000    0.000    0.001    0.001 subprocess.py:1(<module>)
        1    0.000    0.000    0.001    0.001 std.py:245(tqdm)
       81    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
        1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
        1    0.000    0.000    0.000    0.000 utils.py:1(<module>)
      136    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:643(usesTime)
        2    0.000    0.000    0.000    0.000 __init__.py:423(usesTime)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
       16    0.000    0.000    0.000    0.000 sre_compile.py:560(_compile_info)
        1    0.000    0.000    0.000    0.000 __init__.py:418(<listcomp>)
        9    0.000    0.000    0.000    0.000 enum.py:165(__prepare__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:111(remove)
       67    0.000    0.000    0.000    0.000 __init__.py:82(find_spec)
